"id","x1_i","x2_i","group_i","g5_i","g6_i","g7_i","g8_i","time","tau_it","tau_t","z_it","z5_it","z6_it","z7_it","z8_it","y0_it","y_it"
1,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.42820537598719,5.42820537598719
2,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.5391447604753,5.5391447604753
3,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.41354762330662,5.41354762330662
4,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.188698055313505,0.925653030909598,0,0,0,0,0,5.2366011289541,5.2366011289541
5,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,1,0.0822257713553086,0.925653030909598,0,0,0,0,0,5.4024950641701,5.4024950641701
6,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,1,0.221493517407964,0.925653030909598,0,0,0,0,0,5.65106778673427,5.65106778673427
7,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.62729703548153,5.62729703548153
8,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.150008275014559,0.925653030909598,0,0,0,0,0,5.38755618525368,5.38755618525368
9,TRUE,TRUE,6,FALSE,TRUE,FALSE,FALSE,1,-0.751198008022456,0.925653030909598,0,0,0,0,0,5.47021013681889,5.47021013681889
10,TRUE,TRUE,6,FALSE,TRUE,FALSE,FALSE,1,-0.135108969436236,0.925653030909598,0,0,0,0,0,5.59315976092617,5.59315976092617
11,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.0346589340187872,0.925653030909598,0,0,0,0,0,5.2883013634618,5.2883013634618
12,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.57137391183838,5.57137391183838
13,TRUE,TRUE,8,FALSE,FALSE,FALSE,TRUE,1,-0.169806160251578,0.925653030909598,0,0,0,0,0,5.55521672121473,5.55521672121473
14,TRUE,TRUE,6,FALSE,TRUE,FALSE,FALSE,1,-0.0854139233514078,0.925653030909598,0,0,0,0,0,5.89929195299299,5.89929195299299
15,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,1,0.245399714716517,0.925653030909598,0,0,0,0,0,5.34121941361423,5.34121941361423
